0:0:0:0:0:0:0:1 - - [07/Aug/2024:15:54:20 +0800] "GET /s1 HTTP/1.1" 404 677
0:0:0:0:0:0:0:1 - - [07/Aug/2024:15:54:22 +0800] "GET /_static/out/browser/serviceWorker.js HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [07/Aug/2024:15:54:22 +0800] "GET /_static/out/browser/serviceWorker.js HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [07/Aug/2024:15:54:25 +0800] "GET /smbms HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Aug/2024:15:54:26 +0800] "GET /smbms/ HTTP/1.1" 200 1335
0:0:0:0:0:0:0:1 - - [07/Aug/2024:15:54:26 +0800] "GET /smbms/css/style.css HTTP/1.1" 200 8779
0:0:0:0:0:0:0:1 - - [07/Aug/2024:15:54:26 +0800] "GET /smbms/images/loginBg.jpg HTTP/1.1" 200 18389
0:0:0:0:0:0:0:1 - - [07/Aug/2024:15:54:26 +0800] "GET /smbms/images/login_bg.jpg HTTP/1.1" 200 45619
0:0:0:0:0:0:0:1 - - [07/Aug/2024:15:54:26 +0800] "GET /smbms/images/formBg.png HTTP/1.1" 200 41921
0:0:0:0:0:0:0:1 - - [07/Aug/2024:15:54:28 +0800] "GET /_static/out/browser/serviceWorker.js HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [07/Aug/2024:15:54:28 +0800] "GET /_static/out/browser/serviceWorker.js HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [07/Aug/2024:15:54:51 +0800] "GET /_static/out/browser/serviceWorker.js HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [07/Aug/2024:15:54:51 +0800] "GET /_static/out/browser/serviceWorker.js HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [07/Aug/2024:15:55:09 +0800] "POST /smbms/login.do HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [07/Aug/2024:15:55:10 +0800] "GET /_static/out/browser/serviceWorker.js HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [07/Aug/2024:15:55:10 +0800] "GET /_static/out/browser/serviceWorker.js HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [07/Aug/2024:15:55:17 +0800] "GET /_static/out/browser/serviceWorker.js HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [07/Aug/2024:15:55:17 +0800] "GET /_static/out/browser/serviceWorker.js HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [07/Aug/2024:15:55:26 +0800] "POST /smbms/login.do HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [07/Aug/2024:15:55:27 +0800] "GET /_static/out/browser/serviceWorker.js HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [07/Aug/2024:15:55:27 +0800] "GET /_static/out/browser/serviceWorker.js HTTP/1.1" 404 748
